source,neighborhood,city,state,transaction,property_type,date,listing_price,suffix,price_ttc,price,size,rooms,bedrooms,bathrooms,parkings,finishing,condition,construction_year,age,air_conditioning,central_heating,swimming_pool,elevator,garden,equipped_kitchen,amenities
century 21,Aouina,Aouina,Tunis,sale,villa,7/2/2024,3250000,TTC,3250000,3412500,600,8,6,2,4,moyen standing,à rafraichir,1990,35,1,1,0,0,1,1,Terrasse+Chauffage Central+Double Kitchen+Titre Bleu+Jardin+Cuisine Equipée+Climatisation+Parking+Chambre de Service
century 21,Jardins d'El Aouina,Aouina,Tunis,sale,duplex,11/2/2023,1900000,TTC,1900000,2094750,1250,5,4,4,0,haut standing,excellente condition,,,1,1,0,0,1,1,Climatisation+Jardin+Terrasse+Parking+Chauffage Central+Double Kitchen+Camera+Alarme+Cuisine Equipée
tecnocasa,Aouina,Aouina,Tunis,sale,villa,2/24/2025,1600000,TTC,1600000,1600000,567,5,4,1,0,,,,,,,,,,,
tecnocasa,Aouina,Aouina,Tunis,sale,villa,2/24/2025,1100000,TTC,1100000,1100000,440,7,3,3,2,,,,,,,,,,,
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,duplex,7/23/2023,969800,TTC,969800,1069205,300,6,5,3,1,haut standing,neuf,,,1,1,0,1,0,1,Chauffage Central+Terrasse+Chambre de Service+Ascenseur+Parking+Climatisation+Cuisine Equipée+Fibre optique+Gardien+Double vitrage+Master Bedroom+Camera
century 21,Aouina,Aouina,Tunis,sale,appartement,5/30/2024,855000,TTC,855000,897750,160,4,3,2,0,haut standing,neuf,,,1,1,0,1,1,1,Chauffage Central+Terrasse+Ascenseur+Parking+Prise lave-vaisselle+Camera+Master Bedroom+Double vitrage+Gardien+Titre Bleu+Jardin+Cuisine Equipée+Climatisation
century 21,Aouina,Aouina,Tunis,sale,villa,2/19/2025,850000,TTC,850000,850000,400,11,5,2,1,moyen standing,bonne condition,,,1,1,0,0,1,1,Terrasse+Chauffage Central+Jardin+Cuisine Equipée+Climatisation
century 21,Aouina,Aouina,Tunis,sale,villa,10/10/2024,850000,TTC,850000,892500,400,11,5,2,1,moyen standing,bonne condition,,,1,1,0,0,1,1,Climatisation+Terrasse+Chauffage Central+Jardin+Cuisine Equipée
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/28/2024,750000,TTC,750000,787500,188,4,3,2,0,haut standing,neuf,,,1,1,1,1,0,1,Gardien+Climatisation+Cuisine Equipée+Titre Bleu+Double vitrage+Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Piscine+Camera+Master Bedroom
remax,Aouina,Aouina,Tunis,sale,duplex,2/23/2025,690000,TTC,690000,690000,200,5,4,3,1,,,,,,,,,,,
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/28/2024,676000,TTC,676000,709800,165,4,3,2,0,haut standing,neuf,,,1,1,0,1,1,1,Camera+Master Bedroom+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Terrasse+Climatisation+Cuisine Equipée+Jardin+Titre Bleu+Gardien+Double vitrage
century 21,Aouina,Aouina,Tunis,sale,appartement,12/21/2023,600000,TTC,600000,661500,185,5,4,3,1,haut standing,neuf,,,1,1,0,1,1,1,Camera+Climatisation+Cuisine Equipée+Jardin+Titre Bleu+Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Gardien
century 21,Aouina,Aouina,Tunis,sale,appartement,10/14/2024,580000,TTC,580000,609000,185,5,4,3,1,haut standing,neuf,,,1,1,0,1,1,1,Climatisation+Cuisine Equipée+Jardin+Titre Bleu+Gardien+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Terrasse
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/28/2024,567000,TTC,567000,595350,135,3,2,1,0,haut standing,neuf,,,1,1,0,1,0,1,"Gardien+Terrasse+Ascenseur+Parking+Prise lave-vaisselle+Titre Bleu+Double vitrage+Chauffage Central+Camera+Master Bedroom+Cuisine Equipée+Climatisation"
newkey,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,2/23/2025,543000,TTC,543000,543000,187,5,4,1,1,,,,,,,,,,,
newkey,Aouina,Aouina,Tunis,sale,appartement,2/23/2025,520000,TTC,520000,520000,167,4,3,2,1,,,,,,,,,,,
century 21,Aouina,Aouina,Tunis,sale,villa,10/1/2023,515000,TTC,515000,567788,160,5,4,2,1,moyen standing,bonne condition,,,1,1,0,0,1,1,Terrasse+Parking+Chauffage Central+Titre Bleu+Jardin+Cuisine Equipée+Climatisation
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,12/19/2023,500000,TTC,500000,551250,249,5,3,2,1,très haut standing,neuf,,,1,1,0,0,0,1,"Climatisation+Cuisine Equipée+Titre Bleu+Gardien+Double vitrage+Master Bedroom+Prise lave-vaisselle+Chauffage Central+Parking+Terrasse"
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,2/24/2025,495000,TTC,495000,495000,147,4,3,2,2,,,,,,,,,,,
century 21,Aouina,Aouina,Tunis,sale,appartement,1/26/2024,490000,TTC,490000,514500,189,4,3,2,1,moyen standing,excellente condition,,,1,1,0,1,0,1,Titre Bleu+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Camera+Gardien+Alarme+Cuisine Equipée+Terrasse+Climatisation
tecnocasa,Aouina,Aouina,Tunis,sale,villa,4/25/2025,485000,TTC,485000,485000,250,6,4,5,1,haut standing,bonne condition,2016,9,0,0,0,0,1,0,"Jardin, Parking"
century 21,Aouina,Aouina,Tunis,sale,duplex,11/8/2024,480000,TTC,480000,504000,200,4,3,2,0,haut standing,excellente condition,,,1,1,0,1,1,1,Gardien+Chambre de Service+Ascenseur+Chauffage Central+Prise lave-vaisselle+Master Bedroom+Double vitrage+Alarme+Terrasse+Titre Bleu+Jardin+Cuisine Equipée+Climatisation
tecnocasa,Aouina,Aouina,Tunis,sale,duplex,2/24/2025,480000,TTC,480000,480000,155,4,3,2,0,,,,,,,,,,,
newkey,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,2/23/2025,465000,TTC,465000,465000,118,3,2,1,1,,,,,,,,,,,
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,12/22/2023,460000,TTC,460000,507150,185,4,3,3,1,très haut standing,neuf,2020,5,1,1,0,1,0,1,Terrasse+Climatisation+Cuisine Equipée+Gardien+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,6/1/2024,457000,TTC,457000,479850,107,3,2,2,0,haut standing,neuf,,,1,1,0,1,1,1,Parking+Chauffage Central+Prise lave-vaisselle+Camera+Master Bedroom+Vue mer+Double vitrage+Gardien+Titre Bleu+Jardin+Cuisine Equipée+Climatisation+Ascenseur+Terrasse
newkey,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,2/23/2025,450000,TTC,450000,450000,130,5,3,2,1,,,,,,,,,,,
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,4/16/2025,450000,TTC,450000,450000,198,4,4,2,1,moyen standing,bonne condition,2004,21,0,1,0,0,0,1,"Cuisine Equipée, Chauffage Central, Parking"
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/5/2025,440000,TTC,440000,440000,198,5,4,2,1,moyen standing,bonne condition,2009,16,1,1,0,1,0,1,Terrasse+Ascenseur+Parking+Chauffage Central+Master Bedroom+Gardien+Titre Bleu+Climatisation+Cuisine Equipée
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/3/2025,440000,TTC,440000,440000,198,5,4,2,1,moyen standing,bonne condition,2009,16,1,1,0,1,0,1,Titre Bleu+Terrasse+Ascenseur+Parking+Chauffage Central+Master Bedroom+Gardien+Cuisine Equipée+Climatisation
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,10/14/2024,440000,TTC,440000,462000,185,4,3,3,1,très haut standing,neuf,2020,5,1,1,0,1,0,1,Climatisation+Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Camera+Gardien+Cuisine Equipée
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,2/24/2025,430000,TTC,430000,430000,176,5,4,2,1,haut standing,excellente condition,2010,15,1,1,0,1,0,1,"Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Terrasse+Camera+Master Bedroom+Gardien+Alarme+Titre Bleu+Fibre optique+Cuisine Equipée+Climatisation"
century 21,Aouina,Aouina,Tunis,sale,appartement,7/12/2024,430000,TTC,430000,451500,153,4,3,2,1,très haut standing,neuf,2022,3,1,1,0,1,0,1,Prise lave-vaisselle+Terrasse+Ascenseur+Parking+Chauffage Central+Double vitrage+Gardien+Fibre optique+Cuisine Equipée+Climatisation
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,1/22/2025,427000,TTC,427000,427000,115,4,3,2,1,très haut standing,neuf,,,1,1,0,1,0,1,Climatisation+Terrasse+Ascenseur+Chauffage Central+Parking+Cuisine Equipée+Fibre optique+Alarme+Gardien+Double vitrage+Camera
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,4/23/2025,425000,TTC,425000,425000,115,4,3,2,1,très haut standing,neuf,,,1,1,0,1,0,1,Chauffage Central+Parking+Ascenseur+Terrasse+Camera+Double vitrage+Gardien+Alarme+Fibre optique+Cuisine Equipée+Climatisation
century 21,Aouina,Aouina,Tunis,sale,appartement,10/18/2024,420000,TTC,420000,441000,153,4,3,2,1,très haut standing,neuf,2022,3,1,1,0,1,0,1,Climatisation+Cuisine Equipée+Fibre optique+Gardien+Double vitrage+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Terrasse
newkey,Aouina,Aouina,Tunis,sale,local commercial,2/23/2025,420000,TTC,420000,420000,35,1,0,1,0,,,,,,,,,,,
century 21,Aouina,Aouina,Tunis,sale,appartement,3/21/2025,418000,TTC,418000,418000,153,4,3,2,1,très haut standing,neuf,2022,3,1,1,0,1,0,1,Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Double vitrage+Gardien+Fibre optique+Cuisine Equipée+Climatisation
century 21,Aouina,Aouina,Tunis,sale,appartement,3/3/2025,410000,TTC,410000,410000,154,4,3,1,0,haut standing,neuf,2017,8,1,1,0,1,0,1,Terrasse+Ascenseur+Parking+Chauffage Central+Camera+Master Bedroom+Double vitrage+Gardien+Alarme+Titre Bleu+Cuisine Equipée+Climatisation
century 21,Aouina,Aouina,Tunis,sale,appartement,9/30/2024,410000,TTC,410000,430500,154,4,3,1,0,haut standing,neuf,2017,8,1,1,0,1,0,1,Double vitrage+Gardien+Chauffage Central+Master Bedroom+Camera+Alarme+Titre Bleu+Cuisine Equipée+Climatisation+Terrasse+Ascenseur+Parking
newkey,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,2/23/2025,410000,TTC,410000,410000,129,3,1,2,1,,,,,,,,,,,
century 21,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,11/8/2024,400000,TTC,400000,420000,115,4,3,2,0,très haut standing,excellente condition,2024,1,1,1,0,1,0,1,Terrasse+Ascenseur+Chauffage Central+Prise lave-vaisselle+Double vitrage+Gardien+Alarme+Fibre optique+Climatisation+Cuisine Equipée
tecnocasa,Aouina,Aouina,Tunis,sale,duplex,4/30/2025,395000,TTC,395000,395000,155,4,3,2,0,moyen standing,bonne condition,2008,17,1,1,0,0,0,0,"Climatisation, Chauffage Central"
tecnocasa,Aouina,Aouina,Tunis,sale,duplex,3/16/2025,395000,TTC,395000,395000,155,4,3,2,0,moyen standing,bonne condition,2008,17,1,1,0,0,0,1,"Climatisation, Cuisine Equipée, Chauffage Central"
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,4/30/2025,395000,TTC,395000,395000,140,4,3,1,1,haut standing,bonne condition,2020,5,1,0,0,0,0,1,"Climatisation, Cuisine Equipée"
tecnocasa,Aouina,Aouina,Tunis,sale,duplex,2/23/2025,395000,TTC,395000,395000,188,3,3,2,0,,,,,,,,,,,
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/12/2024,390000,TTC,390000,409500,110,3,2,1,1,très haut standing,neuf,,,1,1,0,1,1,1,Camera+Jardin+Cuisine Equipée+Climatisation+Terrasse+Ascenseur+Parking+Chauffage Central+Gardien
tecnocasa,Aouina,Aouina,Tunis,sale,local commercial,3/10/2025,390000,TTC,390000,390000,65,1,0,0,0,moyen standing,bonne condition,2000,25,,,,,,,
century 21,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,3/3/2025,385000,TTC,385000,385000,130,4,3,1,0,haut standing,excellente condition,,,1,1,0,1,0,1,Climatisation+Cuisine Equipée+Fibre optique+Alarme+Gardien+Double vitrage+Terrasse+Ascenseur+Chauffage Central+Prise lave-vaisselle+Master Bedroom
century 21,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,3/28/2024,380000,TTC,380000,399000,136,5,4,2,1,moyen standing,bonne condition,,,1,1,0,1,0,1,Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Camera+Master Bedroom+Gardien+Titre Bleu+Cuisine Equipée+Climatisation
century 21,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,3/1/2025,380000,TTC,380000,380000,130,3,2,1,1,très haut standing,neuf,,,1,1,0,1,1,1,Parking+Ascenseur+Terrasse+Chauffage Central+Prise lave-vaisselle+Camera+Gardien+Alarme+Titre Bleu+Jardin+Fibre optique+Cuisine Equipée+Climatisation
century 21,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,10/21/2024,380000,TTC,380000,399000,130,3,2,1,1,très haut standing,neuf,,,1,1,0,1,1,1,Parking+Terrasse+Ascenseur+Chauffage Central+Climatisation+Cuisine Equipée+Fibre optique+Jardin+Titre Bleu+Alarme+Gardien+Camera+Prise lave-vaisselle
century 21,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,1/19/2024,380000,TTC,380000,399000,130,3,2,1,1,très haut standing,neuf,,,1,1,0,1,1,1,Camera+Terrasse+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Gardien+Alarme+Titre Bleu+Jardin+Fibre optique+Cuisine Equipée+Climatisation
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/26/2024,380000,TTC,380000,399000,95,3,2,1,0,haut standing,neuf,,,1,1,0,1,0,1,Prise lave-vaisselle+Terrasse+Ascenseur+Parking+Chauffage Central+Camera+Double vitrage+Gardien+Titre Bleu+Cuisine Equipée+Climatisation
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,4/23/2024,375000,TTC,375000,393750,170,4,3,2,1,haut standing,bonne condition,,,1,1,0,1,1,1,Climatisation+Cuisine Equipée+Jardin+Titre Bleu+Gardien+Master Bedroom+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Terrasse
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,4/23/2025,375000,TTC,375000,375000,131,4,3,2,0,haut standing,bonne condition,2017,8,1,1,0,1,0,1,"Climatisation, Cuisine Equipée, Chauffage Central, Ascenseur"
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,4/24/2025,370000,TTC,370000,370000,150,5,4,2,1,moyen standing,excellente condition,,,1,1,0,1,0,1,Terrasse+Ascenseur+Parking+Chauffage Central+Double Kitchen+Prise lave-vaisselle+Climatisation+Cuisine Equipée+Fibre optique+Titre Bleu+Alarme+Gardien+Double vitrage+Camera
century 21,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,12/22/2023,370000,TTC,370000,407925,156,4,3,1,0,moyen standing,bonne condition,2019,6,1,1,0,0,1,0,Titre Bleu+Climatisation+Jardin+Gardien+Prise lave-vaisselle+Chauffage Central+Terrasse
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,8/27/2024,370000,TTC,370000,388500,120,3,2,1,1,haut standing,neuf,2024,1,1,1,0,1,0,1,Climatisation+Cuisine Equipée+Alarme+Gardien+Camera+Chauffage Central+Parking+Ascenseur
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/22/2024,370000,TTC,370000,388500,120,3,2,1,1,haut standing,neuf,2024,1,1,1,0,1,0,1,Climatisation+Cuisine Equipée+Alarme+Gardien+Camera+Chauffage Central+Parking+Ascenseur
newkey,Aouina,Aouina,Tunis,sale,appartement,2/23/2025,370000,TTC,370000,370000,103,3,2,1,0,,,,,,,,,,,
remax,Aouina,Aouina,Tunis,sale,appartement,4/17/2025,365000,TTC,365000,365000,148,4,3,2,1,haut standing,excellente condition,2011,14,1,1,0,1,0,1,"Climatisation, Cuisine Equipée, Fibre optique, Alarme, Double vitrage, Chauffage Central, Parking, Ascenseur, Terrasse"
remax,Aouina,Aouina,Tunis,sale,appartement,4/17/2025,365000,TTC,365000,365000,148,4,3,2,1,haut standing,bonne condition,,,1,1,0,1,0,1,"Climatisation, Cuisine Equipée, Fibre optique, Alarme, Parking, Ascenseur, Chauffage Central, Camera"
newkey,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,2/23/2025,363000,TTC,363000,363000,125,3,2,1,1,,,,,,,,,,,
newkey,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,2/23/2025,360000,TTC,360000,360000,135,4,3,1,1,,,,,,,,,,,
remax,Aouina,Aouina,Tunis,sale,appartement,2/24/2025,360000,TTC,360000,360000,144,4,3,1,0,,,,,,,,,,,
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,2/24/2025,360000,TTC,360000,360000,100,4,3,2,0,,,,,,,,,,,
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,10/17/2024,355000,TTC,355000,372750,150,4,3,2,1,haut standing,excellente condition,1999,26,1,1,0,1,0,1,Terrasse+Ascenseur+Parking+Chauffage Central+Camera+Double vitrage+Gardien+Alarme+Fibre optique+Cuisine Equipée+Climatisation
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,2/20/2024,352000,TTC,352000,369600,122,3,2,1,0,haut standing,neuf,,,1,1,0,1,0,1,"Terrasse+Ascenseur+Chauffage Central+Prise lave-vaisselle+Camera+Double vitrage+Gardien+Titre Bleu+Fibre optique+Cuisine Equipée+Climatisation"
century 21,Aouina,Aouina,Tunis,sale,appartement,12/23/2024,350000,TTC,350000,367500,200,4,3,2,1,moyen standing,bonne condition,,,1,1,0,0,1,1,Fibre optique+Terrasse+Parking+Chauffage Central+Double Kitchen+Prise lave-vaisselle+Double vitrage+Gardien+Alarme+Titre Bleu+Jardin+Cuisine Equipée+Climatisation
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,1/17/2024,350000,TTC,350000,367500,159,4,3,1,1,économique,excellente condition,2017,8,1,1,0,1,0,1,Ascenseur+Terrasse+Parking+Chauffage Central+Prise lave-vaisselle+Camera+Double vitrage+Gardien+Fibre optique+Cuisine Equipée+Climatisation
century 21,Jardins d'El Aouina,Aouina,Tunis,sale,appartement,11/7/2024,350000,TTC,350000,367500,147,4,3,2,1,haut standing,excellente condition,2013,12,1,1,0,1,0,1,Camera+Titre Bleu+Fibre optique+Cuisine Equipée+Climatisation+Alarme+Gardien+Double vitrage+Master Bedroom+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Terrasse
century 21,Aouina,Aouina,Tunis,sale,appartement,10/7/2024,350000,TTC,350000,367500,125,4,3,2,1,haut standing,excellente condition,2018,7,1,1,0,0,0,1,Chauffage Central+Prise lave-vaisselle+Double vitrage+Gardien+Titre Bleu+Fibre optique+Cuisine Equipée+Climatisation+Parking
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,12/27/2023,350000,TTC,350000,385875,112,3,2,1,0,haut standing,neuf,,,1,1,0,0,0,1,Terrasse+Chauffage Central+Prise lave-vaisselle+Double vitrage+Titre Bleu+Fibre optique+Cuisine Equipée+Climatisation
century 21,Aouina,Aouina,Tunis,sale,appartement,4/16/2025,345000,TTC,345000,345000,125,4,3,2,1,haut standing,excellente condition,2018,7,1,1,0,0,0,1,Climatisation+Parking+Cuisine Equipée+Fibre optique+Titre Bleu+Gardien+Double vitrage+Prise lave-vaisselle+Chauffage Central
century 21,Aouina,Aouina,Tunis,sale,appartement,10/7/2024,345000,TTC,345000,362250,125,4,3,2,1,haut standing,excellente condition,2018,7,1,1,0,0,0,1,Titre Bleu+Parking+Chauffage Central+Prise lave-vaisselle+Double vitrage+Gardien+Fibre optique+Cuisine Equipée+Climatisation
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,2/27/2025,340000,TTC,340000,340000,133,5,4,1,0,économique,à rafraichir,2010,15,0,1,0,1,0,0,Terrasse+Ascenseur+Chauffage Central+Prise lave-vaisselle+Camera+Double vitrage+Titre Bleu+Fibre optique
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,10/18/2024,340000,TTC,340000,357000,133,5,4,1,0,économique,à rafraichir,2010,15,0,1,0,1,0,0,Ascenseur+Fibre optique+Titre Bleu+Double vitrage+Camera+Prise lave-vaisselle+Terrasse+Chauffage Central
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,6/22/2024,340000,TTC,340000,357000,133,5,4,1,0,économique,à rafraichir,2010,15,0,1,0,1,0,0,Double vitrage+Titre Bleu+Fibre optique+Prise lave-vaisselle+Camera+Chauffage Central+Ascenseur+Terrasse
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,4/22/2025,340000,TTC,340000,340000,205,5,4,2,1,moyen standing,bonne condition,2006,19,1,1,0,0,0,1,"Climatisation, Cuisine Equipée, Parking, Chauffage Central"
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,1/23/2024,340000,TTC,340000,357000,157,4,3,1,1,social,excellente condition,2010,15,0,1,0,1,0,1,Ascenseur+Parking+Chauffage Central+Gardien+Cuisine Equipée
century 21,Aouina,Aouina,Tunis,sale,appartement,1/16/2025,340000,TTC,340000,340000,125,4,3,2,1,haut standing,excellente condition,2018,7,1,1,0,0,0,1,Parking+Chauffage Central+Prise lave-vaisselle+Double vitrage+Gardien+Titre Bleu+Fibre optique+Cuisine Equipée+Climatisation
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,2/24/2025,340000,TTC,340000,340000,128,4,3,1,1,,,,,,,,,,,
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,2/24/2025,340000,TTC,340000,340000,107,4,3,2,1,,,,,,,,,,,
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,2/27/2024,340000,TTC,340000,357000,120,3,2,1,1,haut standing,excellente condition,,,1,1,0,1,0,1,Climatisation+Ascenseur+Parking+Chauffage Central+Gardien+Alarme+Cuisine Equipée
newkey,Cité Les Palmeraies,Aouina,Tunis,sale,local commercial,2/21/2025,340000,TTC,340000,340000,56,2,3,1,0,,,,,,,,,,,
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,11/13/2023,330000,TTC,330000,363825,161,4,3,1,0,social,à rafraichir,2008,17,1,1,0,1,0,1,Titre Bleu+Alarme+Prise lave-vaisselle+Chauffage Central+Ascenseur+Cuisine Equipée+Climatisation
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/17/2023,330000,TTC,330000,363825,140,4,3,1,1,moyen standing,bonne condition,,,1,1,0,1,0,1,Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Double vitrage+Gardien+Cuisine Equipée+Climatisation
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,2/24/2025,330000,TTC,330000,330000,150,4,3,2,1,,,,,,,,,,,
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,3/10/2025,330000,TTC,330000,330000,129,4,3,2,1,moyen standing,bonne condition,2008,17,1,0,0,0,0,1,"Climatisation, Cuisine Equipée"
century 21,Aouina,Aouina,Tunis,sale,appartement,11/4/2024,330000,TTC,330000,346500,118,3,2,1,1,haut standing,neuf,2024,1,0,1,0,1,0,1,"Cuisine Equipée+Double vitrage+Chauffage Central+Parking+Ascenseur"
tecnocasa,Aouina,Aouina,Tunis,sale,local commercial,4/3/2025,330000,TTC,330000,330000,56,1,0,0,0,haut standing,bonne condition,2007,18,0,0,0,0,0,0,Parking
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,2/24/2025,325000,TTC,325000,325000,168,3,3,2,0,,,,,,,,,,,
century 21,Aouina,Aouina,Tunis,sale,appartement,7/27/2023,320000,TTC,320000,352800,134,4,3,1,1,haut standing,excellente condition,2020,5,1,1,0,0,0,1,Climatisation+Cuisine Equipée+Gardien+Double vitrage+Chauffage Central+Parking+Terrasse
newkey,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,2/23/2025,320000,TTC,320000,320000,106,4,3,1,1,,,,,,,,,,,
newkey,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,2/23/2025,319000,TTC,319000,319000,68,2,1,1,1,,,,,,,,,,,
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,4/23/2025,316000,TTC,316000,316000,76,3,2,1,1,très haut standing,neuf,2025,0,1,1,0,1,1,1,Chauffage Central+Terrasse+Ascenseur+Parking+Camera+Master Bedroom+Double vitrage+Gardien+Alarme+Jardin+Fibre optique+Cuisine Equipée+Climatisation
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,2/18/2025,310000,TTC,310000,310000,136,3,2,1,0,haut standing,excellente condition,2017,8,1,1,0,1,0,1,Climatisation+Cuisine Equipée+Fibre optique+Titre Bleu+Gardien+Prise lave-vaisselle+Chauffage Central+Ascenseur+Terrasse
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/27/2024,310000,TTC,310000,325500,131,3,2,1,1,haut standing,bonne condition,2020,5,1,1,0,1,0,1,Double vitrage+Chauffage Central+Parking+Ascenseur+Gardien+Cuisine Equipée+Climatisation
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,4/2/2025,310000,TTC,310000,310000,113,3,2,1,1,haut standing,bonne condition,2013,12,1,0,0,0,0,1,"Climatisation, Cuisine Equipée"
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,2/24/2025,300000,TTC,300000,300000,86,3,2,1,1,,,,,,,,,,,
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,4/29/2025,298000,TTC,298000,298000,115,3,2,1,0,haut standing,bonne condition,2020,5,1,1,0,1,0,1,"Climatisation, Cuisine Equipée, Chauffage Central, Ascenseur"
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,7/17/2024,295000,TTC,295000,309750,119,3,2,1,1,haut standing,excellente condition,2019,6,1,1,0,1,0,1,Climatisation+Titre Bleu+Cuisine Equipée+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Gardien
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,1/18/2025,290000,TTC,290000,290000,132,4,3,2,1,moyen standing,bonne condition,2006,19,1,1,0,1,0,1,Chauffage Central+Terrasse+Ascenseur+Parking+Gardien+Titre Bleu+Cuisine Equipée+Climatisation
century 21,Aouina,Aouina,Tunis,sale,appartement,12/4/2023,290000,TTC,290000,319725,132,4,3,1,0,moyen standing,bonne condition,2002,23,1,1,0,0,0,1,Climatisation+Terrasse+Chauffage Central+Prise lave-vaisselle+Titre Bleu+Fibre optique+Cuisine Equipée
tecnocasa,Aouina,Aouina,Tunis,sale,appartement,2/23/2025,290000,TTC,290000,290000,115,3,2,1,0,,,,,,,,,,,
century 21,Cité Les Palmeraies,Aouina,Tunis,sale,appartement,5/24/2024,285000,TTC,285000,299250,115,3,2,1,1,moyen standing,excellente condition,,,1,1,0,1,0,0,Climatisation+Titre Bleu+Chauffage Central+Parking+Ascenseur+Terrasse
